date,proba,signal_bin,exposition,ret_bh,ret_bin,ret_dyn,cumul_bh,cumul_bin,cumul_dyn
2024-01-31,0.6745913904047964,1,1.0,0.012493688211609788,0.012493688211609788,0.012493688211609788,1.0124936882116098,1.0124936882116098,1.0124936882116098
2024-02-01,0.8195349926968213,1,1.0,0.01068444607751462,0.01068444607751462,0.01068444607751462,1.0233116224271306,1.0233116224271306,1.0233116224271306
2024-02-02,0.8793928326709022,1,1.0,-0.0031863375266721894,-0.0031863375266721894,-0.0031863375266721894,1.0200510062031112,1.0200510062031112,1.0200510062031112
2024-02-05,0.8426393168222535,1,1.0,0.0023104108269635937,0.0023104108269635937,0.0023104108269635937,1.0224077430918979,1.0224077430918979,1.0224077430918979
2024-02-06,0.7677845331330801,1,1.0,0.008241457963390042,0.008241457963390042,0.008241457963390042,1.0308338735280342,1.0308338735280342,1.0308338735280342
2024-02-07,0.881547231711526,1,1.0,0.0005705832608251526,0.0005705832608251526,0.0005705832608251526,1.031422050080961,1.031422050080961,1.031422050080961
2024-02-08,0.8369753165713283,1,1.0,0.0057423415255595245,0.0057423415255595245,0.0057423415255595245,1.0373448277495185,1.0373448277495185,1.0373448277495185
2024-02-09,0.9050340384379968,1,1.0,-0.0009489536011326738,-0.0009489536011326738,-0.0009489536011326738,1.0363604356396092,1.0363604356396092,1.0363604356396092
2024-02-12,0.7040231651423874,1,1.0,-0.013674255653625456,-0.013674255653625456,-0.013674255653625456,1.0221889780933706,1.0221889780933706,1.0221889780933706
2024-02-13,0.6336115196626445,1,0.8,0.009579763275017639,0.009579763275017639,0.007663810620014111,1.0319813065258372,1.0319813065258372,1.0300228408393441
2024-02-14,0.7709654287487702,1,1.0,0.005821250684729495,0.005821250684729495,0.005821250684729495,1.0379887284130787,1.0379887284130787,1.036018862006867
2024-02-15,0.8319396495011857,1,1.0,-0.0048034698371121065,-0.0048034698371121065,-0.0048034698371121065,1.033002780864884,1.033002780864884,1.0310423766525378
2024-02-16,0.6770163070227364,1,1.0,-0.006005322001165325,-0.006005322001165325,-0.006005322001165325,1.0267992665376913,1.0267992665376913,1.0248506351838926
2024-02-20,0.5948802012078263,0,0.6,0.001264199922982101,0.0,0.0007585199537892606,1.0280973460913663,1.0267992665376913,1.0256280048403332
2024-02-21,0.6247805033302509,1,0.8,0.02112288421741404,0.02112288421741404,0.01689830737393123,1.0498137272970849,1.0484882285592927,1.042959382117437
2024-02-22,0.906665072767503,1,1.0,0.0003479475462115911,0.0003479475462115911,0.0003479475462115911,1.050179007407477,1.0488530474656517,1.043322277275243
2024-02-23,0.8986404984881515,1,1.0,-0.003786751350190576,-0.003786751350190576,-0.003786751350190576,1.046202240633235,1.0448813017720096,1.0393714752330871
2024-02-26,0.8546551679800519,1,1.0,0.0017063496993998672,0.0017063496993998672,0.0017063496993998672,1.0479874275120509,1.0466642346671968,1.041145006437416
2024-02-27,0.830013265853897,1,1.0,-0.001658155060430544,-0.001658155060430544,-0.001658155060430544,1.046249701855854,1.0449287030699117,1.0394186265763496
2024-02-28,0.728543498459452,1,1.0,0.005229094697149161,0.005229094697149161,0.005229094697149161,1.0517206406237225,1.0503927342100334,1.044853845004698
2024-02-29,0.7927615819164089,1,1.0,0.00800782894888763,0.00800782894888763,0.00800782894888763,1.0601426396158518,1.0588040995547419,1.0532208558720833
2024-03-01,0.948444880240318,1,1.0,-0.0011932620709189656,-0.0011932620709189656,-0.0011932620709189656,1.0588776116142342,1.0575406687822098,1.0519640873724703
2024-03-04,0.91406842010725,1,1.0,-0.010193100883444606,-0.010193100883444606,-0.010193100883444606,1.0480843652958294,1.0467610500569673,1.041241311304122
2024-03-05,0.6109140711669243,1,0.8,0.005141103203274655,0.005141103203274655,0.004112882562619724,1.053472675183554,1.0521425566444782,1.045523814536864
2024-03-06,0.7951613196876837,1,1.0,0.010304127925951478,0.010304127925951478,0.010304127925951478,1.0643277923951395,1.0629839681444806,1.0562970256714805
2024-03-07,0.8656088901275809,1,1.0,-0.0065285190034379825,-0.0065285190034379825,-0.0065285190034379825,1.0573793081766008,1.0560442571080995,1.0494009704661094
2024-03-08,0.6779806335156023,1,1.0,-0.001122238087346461,-0.001122238087346461,-0.001122238087346461,1.056192676844193,1.0548591240208494,1.048223292728154
2024-03-11,0.7171583864746526,1,1.0,0.011201787981366396,0.011201787981366396,0.011201787981366396,1.0680239232776734,1.0666754322783407,1.0599652678104245
2024-03-12,0.8540692888351931,1,1.0,-0.0019245297153407392,-0.0019245297153407392,-0.0019245297153407392,1.0659684795006308,1.0646225837122971,1.0579253331552942
2024-03-13,0.7783621869436836,1,1.0,-0.0028710915621273925,-0.0028710915621273925,-0.0028710915621273925,1.0629079863936428,1.0615659547953504,1.0548879326579113
2024-03-14,0.6690118083869266,1,1.0,-0.006482917484461503,-0.006482917484461503,-0.006482917484461503,1.0560172416242777,1.0546839103060985,1.0480491812351358
2024-03-15,0.7334452217607479,1,1.0,0.006318059504952345,0.006318059504952345,0.006318059504952345,1.0626892213951156,1.0613474660103284,1.054670818326296
2024-03-18,0.6948317984336257,1,1.0,0.0056491496501236416,0.0056491496501236416,0.0056491496501236416,1.06869251183835,1.0673431766766002,1.0606288116106397
2024-03-19,0.8010133823395176,1,1.0,0.008904173912846591,0.008904173912846591,0.008904173912846591,1.0782083358231154,1.0768469859464187,1.0700728350061965
2024-03-20,0.9562369751194121,1,1.0,0.0032365354015160275,0.0032365354015160275,0.0032365354015160275,1.0816979952722166,1.08033223933845,1.0735361636188947
2024-03-21,0.9451528396443447,1,1.0,-0.0014021878490156903,-0.0014021878490156903,-0.0014021878490156903,1.080181251486941,1.0788174105995498,1.0720308642547893
2024-03-22,0.7755005728805485,1,1.0,-0.0030549644525015296,-0.0030549644525015296,-0.0030549644525015296,1.0768813361613898,1.0755216617594285,1.0687558480725066
2024-03-25,0.6983057518014493,1,1.0,-0.002799795225030266,-0.002799795225030266,-0.002799795225030266,1.073866288938481,1.0725104213464178,1.06576355055235
2024-03-26,0.6715266266781696,1,1.0,0.008630626525532925,0.008630626525532925,0.008630626525532925,1.083134427816669,1.0817668582378006,1.0749617577216932
2024-03-27,0.7289588390601806,1,1.0,0.0011164855071790214,0.0011164855071790214,0.0011164855071790214,1.084343731707653,1.0829746352571696,1.076161936944961
2024-03-28,0.7215433408846876,1,1.0,-0.0020135845401164643,-0.0020135845401164643,-0.0020135845401164643,1.0821603139333142,1.0807939742742776,1.073994993906067
2024-04-01,0.6473847252042375,1,0.8,-0.0072390590731691296,-0.0072390590731691296,-0.005791247258535304,1.0743264914941117,1.0729700428485809,1.0677752233419278
2024-04-02,0.6248540024863455,1,0.8,0.001091122364688113,0.001091122364688113,0.0008728978917504904,1.075498713155958,1.0741407844589734,1.0687072820832464
2024-04-03,0.5465987534400166,0,0.4,-0.012334336350379616,-0.0,-0.004933734540151846,1.0622331502834919,1.0741407844589734,1.0634345640523204
2024-04-04,0.47211978249600417,0,0.3,0.011099194174331695,0.0,0.0033297582522995085,1.0740230822769004,1.0741407844589734,1.0669755440677542
2024-04-05,0.47547574416049865,0,0.3,-0.00037463099831791524,-0.0,-0.00011238929949537457,1.0736207199373704,1.0741407844589734,1.0668556274337777
2024-04-08,0.45166512517078905,0,0.3,0.0014454931932483817,0.0,0.0004336479579745145,1.0751726313801704,1.0741407844589734,1.0673182671980679
2024-04-09,0.45015564272389286,0,0.3,-0.009456980649108493,-0.0,-0.002837094194732548,1.0650047446107571,1.0741407844589734,1.0642901847382682
2024-04-10,0.32401201766746796,-1,0.0,0.007444797710585593,-0.007444797710585593,0.0,1.072933489495198,1.0661440236059867,1.0642901847382682
2024-04-11,0.4254684659313895,0,0.0,-0.01455068829580164,-0.0,-0.0,1.0573215687274267,1.0661440236059867,1.0642901847382682
2024-04-12,0.24099259756605118,-1,0.0,-0.01202135494776202,0.01202135494776202,-0.0,1.0446111308558297,1.0789605193391896,1.0642901847382682
2024-04-15,0.3265906909203762,-1,0.0,-0.0020565070133361507,0.0020565070133361507,-0.0,1.0424628807390157,1.0811794092143237,1.0642901847382682
2024-04-16,0.28629258661250895,-1,0.0,-0.005780602724641426,0.005780602724641426,-0.0,1.0364368169702782,1.087429277853054,1.0642901847382682
2024-04-17,0.28295388429877766,-1,0.0,-0.002208160119998248,0.002208160119998248,-0.0,1.0341481985241465,1.0898304958177276,1.0642901847382682
2024-04-18,0.39300670289902445,-1,0.0,-0.00875854812743615,0.00875854812743615,-0.0,1.0250905617564714,1.0993758286660948,1.0642901847382682
2024-04-19,0.39556628999460397,-1,0.0,0.008731248071466746,-0.008731248071466746,0.0,1.0340408817468862,1.0897769055822368,1.0642901847382682
2024-04-22,0.46369843166517594,0,0.3,0.011964576270872662,0.0,0.0035893728812617983,1.0464127427437473,1.0897769055822368,1.0681103190651609
2024-04-23,0.48639697196267867,0,0.3,0.0002130100613548791,0.0,6.390301840646373e-05,1.0466356391862817,1.0897769055822368,1.0681785745385401
2024-04-24,0.3516905968962333,-1,0.0,-0.004576430353515626,0.004576430353515626,-0.0,1.0418457840780384,1.0947641936915038,1.0681785745385401
2024-04-25,0.3649106814048221,-1,0.0,0.01020914263474304,-0.01020914263474304,0.0,1.0524821362910968,1.0835875898866978,1.0681785745385401
2024-04-26,0.4288164356465081,0,0.0,0.0031784486665891176,0.0,0.0,1.0558273967338,1.0835875898866978,1.0681785745385401
2024-04-29,0.5979367559140975,0,0.6,-0.01573051358686217,-0.0,-0.009438308152117303,1.0392186895240978,1.0835875898866978,1.058096775990556
2024-04-30,0.518187793795195,0,0.4,-0.0034354388154940185,-0.0,-0.0013741755261976075,1.0356485173003198,1.0835875898866978,1.0566427652966413
2024-05-01,0.5196093728521372,0,0.4,0.009128437077573048,0.0,0.0036513748310292196,1.0451023696249777,1.0835875898866978,1.0605009640952345
2024-05-02,0.5850037802270387,0,0.6,0.012556739721478527,0.0,0.007534043832887116,1.058225448062659,1.0835875898866978,1.068490824843547
2024-05-03,0.666412534462725,1,1.0,0.01032612390701182,0.01032612390701182,0.01032612390701182,1.069152815160907,1.094776849603968,1.0795241934943867
2024-05-06,0.7809843781225478,1,1.0,0.0013434298232750663,0.0013434298232750663,0.0013434298232750663,1.0705891469384328,1.096247605473557,1.080974458490874
2024-05-07,0.836816338826984,1,1.0,-5.835618166138978e-06,-5.835618166138978e-06,-5.835618166138978e-06,1.0705828993889583,1.096241208191116,1.080968150336687
2024-05-08,0.8074624627431588,1,1.0,0.005090947698625836,0.005090947698625836,0.005090947698625836,1.0760331809367907,1.1018221148470952,1.0864713026539314
