regime,ret_strategie,ret_bh,sharpe,max_drawdown,n_trades,hit_rate
calme,0.0576811134300208,0.24212598967941967,1.0562576697586503,-0.05622464583651004,137,0.5328467153284672
stress,0.0599790723364495,0.28396649588639344,1.8458670008029672,-0.04778064975247552,18,0.5
