date,close,vix,regime,score_global,score_ct,score_mt,score_lt,score_ml,proba_ml,tendance_global,conviction
2026-05-05,7259.22021484375,17.3799991607666,calme,45.1,33.3,40.0,70.8,34.8,0.6742,HAUSSIÈRE            ▲,FORTE
2026-05-08,7398.93017578125,17.190000534057617,calme,51.8,40.0,46.7,70.8,48.2,0.7409,HAUSSIÈRE            ▲,FORTE
