Date,Open,High,Low,Close,Volume,rendement,vol_20j,vol_5j,MA_20,MA_50,MA_ratio,RSI,MACD,MACD_signal
2018-02-19,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,7652089856,0.06382797366007709,0.07796453316659768,0.05658351522483214,9103.446533203125,11550.00263671875,0.7881770090910846,78.3618396434194,-46.984218402023544,-485.528241646061
2018-02-20,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,9926540288,0.01589270609507487,0.07798077806007836,0.0532146337333132,9162.5765625,11504.93263671875,0.7964041904302016,76.41860385549896,72.50831067438594,-373.9196568372104
2018-02-21,11372.2001953125,11418.5,10479.099609375,10690.400390625,9405339648,-0.06254985596523333,0.07543828299411583,0.06634737268678967,9238.569580078125,11419.09865234375,0.8090454300595717,70.49334251115972,109.33760829574567,-277.2673209509495
2018-02-22,10660.400390625,11039.099609375,9939.08984375,10005.0,8040079872,-0.06411363144322124,0.07656919451527733,0.05700709817052724,9297.282080078125,11315.17865234375,0.8216646299395678,61.551167058567785,83.119379880005,-205.18945407515633
2018-02-23,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375,7739500032,0.02959516335582202,0.07640510168123639,0.0573701056479068,9353.591552734375,11209.216640625,0.8344554175922182,60.634677913591055,84.91000231124053,-147.1692236112297
2018-02-24,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,6917929984,-0.04737642731178393,0.07347973299772763,0.044974699041331605,9430.394580078126,11056.888046875,0.8528977177030775,57.70803013805799,46.93639552625973,-108.34791822404738
2018-02-25,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,5706939904,-0.015116557715992629,0.062004620319284595,0.039623193407035365,9565.867602539063,10899.64265625,0.8776313044587629,60.39356816028107,4.968917787877217,-85.68446622762161
2018-02-26,9669.4296875,10475.0,9501.73046875,10366.7001953125,7287690240,0.07263210586495439,0.059203657481579734,0.05616052862289765,9696.502612304688,10777.42466796875,0.8997049769341802,59.87934374638659,27.387784132713932,-63.06994846678962
2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375,6966179840,0.03462041028492213,0.05879739591969204,0.046682923453230496,9851.717602539062,10688.53466796875,0.9217089066532712,64.53219933418644,72.96078066148038,-35.86373749520281
2018-02-28,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,6936189952,-0.030552997565149287,0.057650915650685905,0.04959877098719032,9958.333129882812,10604.58466796875,0.9390592316134788,56.69028963390597,81.94600150275619,-12.301744559799637
