Date,Open,High,Low,Close,Volume,rendement,vol_20j,vol_5j,MA_20,MA_50,MA_ratio,RSI,MACD,MACD_signal
2018-03-14,2774.06005859375,2777.110107421875,2744.3798828125,2749.47998046875,3394630000,-0.005724521948562322,0.009584463097850953,0.009778160078612276,2731.83701171875,2747.03919921875,0.9944659735819119,56.977302902887324,6.936605578638137,-0.08372640955668147
2018-03-15,2754.27001953125,2763.030029296875,2741.469970703125,2747.330078125,3543710000,-0.000781930531963182,0.009185048108170907,0.009688016925846499,2734.272021484375,2748.069599609375,0.9949791744259456,50.00526810364544,6.645555168051942,1.2621452731030731
2018-03-16,2750.570068359375,2761.85009765625,2749.969970703125,2752.010009765625,5429140000,0.001703447167811456,0.008808427692716465,0.0034441218895317595,2735.3125244140624,2748.8485986328124,0.9950757294434177,44.64041977821642,6.708640713200111,2.3514543112908735
2018-03-19,2741.3798828125,2741.3798828125,2694.590087890625,2712.919921875,3327460000,-0.014204195388793028,0.00939572479645226,0.006119687586681243,2734.347521972656,2748.627197265625,0.9948047973522293,43.99600640545642,3.612104897547397,2.6035862709985373
2018-03-20,2715.050048828125,2724.219970703125,2710.050048828125,2716.93994140625,3272590000,0.0014818054520648882,0.009311235130702172,0.006685998755998555,2734.3815185546873,2748.102998046875,0.9950069267775116,50.66243281023781,1.4613506846744713,2.3751378182225733
2018-03-21,2714.989990234375,2739.139892578125,2709.7900390625,2711.929931640625,3434780000,-0.0018439898833508828,0.009232131287821011,0.006588472927730381,2734.911511230469,2747.3873974609373,0.9954589999786713,58.41437163089948,-0.6343293039021773,1.7732415788461373
2018-03-22,2691.360107421875,2695.679931640625,2641.590087890625,2643.68994140625,3765460000,-0.025162888405856454,0.010833259740374678,0.011771101100586288,2731.8980102539062,2745.2353955078124,0.9951416241843118,40.79150878466786,-7.644405056148571,-0.1102947952990306
2018-03-23,2646.7099609375,2657.669921875,2585.889892578125,2588.260009765625,3829380000,-0.02096688071186603,0.010918089930269837,0.011654738878090824,2723.946008300781,2742.03599609375,0.9934027168794504,26.639230456428606,-17.41907018858865,-3.572060235558713
2018-03-26,2619.35009765625,2661.360107421875,2601.81005859375,2658.550048828125,3538080000,0.02715725576151251,0.012444121129621203,0.02086341006755798,2717.893505859375,2739.8557958984375,0.9919841438108021,39.97809635213525,-19.330054188666963,-6.7236665727782645
2018-03-27,2667.570068359375,2674.780029296875,2596.1201171875,2612.6201171875,3761320000,-0.017276308813847896,0.012687701172208193,0.02134218978397884,2711.310510253906,2736.3833984375,0.9908372166714976,35.42507711591165,-24.23402996152754,-10.225745959179424
2018-03-28,2611.300048828125,2632.64990234375,2593.06005859375,2605.0,3875720000,-0.00291665716625622,0.012522685702289276,0.021274916927779483,2705.869006347656,2732.955,0.9900891183161289,32.69793103274314,-28.401385716372715,-13.860879481443995
2018-03-29,2614.409912109375,2659.070068359375,2609.719970703125,2640.8701171875,3572360000,0.013769718690019195,0.012694045978700991,0.02045543124358985,2704.029016113281,2729.721201171875,0.9905879820079927,30.595081942693113,-28.50478883424603,-16.78966494268493
2018-04-02,2633.449951171875,2638.300048828125,2553.800048828125,2581.8798828125,3635780000,-0.022337423560165104,0.013501646631720134,0.020811930063501086,2698.560510253906,2725.3981982421874,0.9901527461177633,26.658314464382457,-32.92929071285789,-20.017593262662405
